"recipient_iso","year","emergency_commitments"
"COG",2010,31.739039
"COG",2011,2.631962
"COG",2012,9.74661
"COG",2013,2.313798
"COG",2014,3.439932
"COG",2015,21.459263
"COG",2016,12.492304
"COG",2017,21.413957
"COG",2018,22.529775
"COG",2019,29.263426
"COG",2020,24.227179
"COG",2021,23.897995
"COG",2022,83.8506730000001
"COG",2023,66.337235
"COG",2024,10.50133
"COL",2008,249.962275
"COL",2009,98.688304
"COL",2010,81.152697
"COL",2011,212.484738
"COL",2012,303.316759
"COL",2013,80.981612
"COL",2014,184.472497
"COL",2015,73.054239
"COL",2016,70.086586
"COL",2017,121.802377
"COL",2018,180.472117
"COL",2019,362.42354
"COL",2020,522.619122
"COL",2021,707.210513
"COL",2022,572.921356
"COL",2023,234.016569
"COL",2024,544.172014
"COM",2008,1.458661
"COM",2009,0.241963
"COM",2010,3.987645
"COM",2011,0.039728
"COM",2012,2.065538
"COM",2013,0.039266
"COM",2014,0.164323
"COM",2015,3.167293
"COM",2016,0.941985
"COM",2017,0.775119
"COM",2018,0.324285
"COM",2019,55.206213
"COM",2020,2.814678
"COM",2021,5.915495
"COM",2022,48.140059
"COM",2023,9.854819
"COM",2024,18.067752
"CPV",2008,2.482298
"CPV",2009,1.10261
"CPV",2010,6.866304
"CPV",2011,1.487218
"CPV",2012,2.506213
"CPV",2013,0.042377
"CPV",2014,4.512525
"CPV",2015,0.313319
"CPV",2016,1.341183
"CPV",2017,0.811456
"CPV",2018,0.118572
"CPV",2019,10.596102
"CPV",2020,0.667341
"CPV",2021,0.242176
"CPV",2022,22.366856
"CPV",2023,13.2017
"CPV",2024,1.644968
"CRI",2008,74.346701
"CRI",2009,0.872053
"CRI",2010,1.474697
"CRI",2011,0.377491
"CRI",2012,0.497633
"CRI",2013,0.247626
"CRI",2014,2.956106
"CRI",2015,5.625931
"CRI",2016,2.238676
"CRI",2017,1.430804
"CRI",2018,8.152516
"CRI",2019,11.388571
"CRI",2020,11.885182
"CRI",2021,7.439569
"CRI",2022,9.052342
"CRI",2023,220.372792
"CRI",2024,373.425178
"CUB",2008,21.178714
"CUB",2009,25.492068
"CUB",2010,4.12067
"CUB",2011,1.634469
"CUB",2012,16.203194
"CUB",2013,3.006553
"CUB",2014,6.450072
"CUB",2015,3.149251
"CUB",2016,6.591199
"CUB",2017,26.75971
"CUB",2018,8.291708
"CUB",2019,2.910402
"CUB",2020,0.982158
"CUB",2021,1.435148
"CUB",2022,13.398417
"CUB",2023,3.699993
"CUB",2024,13.573734
"DJI",2008,17.273551
"DJI",2009,9.820754
"DJI",2010,15.944327
"DJI",2011,34.164524
"DJI",2012,11.124411
"DJI",2013,63.03064
"DJI",2014,12.618097
"DJI",2015,16.616166
"DJI",2016,41.237928
"DJI",2017,16.429447
"DJI",2018,21.221908
"DJI",2019,24.092944
"DJI",2020,39.900404
"DJI",2021,23.361652
"DJI",2022,87.502992
"DJI",2023,19.462336
"DJI",2024,10.574434
"DMA",2008,0.033506
"DMA",2009,0.33025
"DMA",2010,0.014455
"DMA",2011,0.016149
"DMA",2012,0.014937
"DMA",2013,0
"DMA",2014,23.641254
"DMA",2015,41.212252
"DMA",2016,1.687953
"DMA",2017,14.211912
"DMA",2018,74.22012
"DMA",2019,0.706712
"DMA",2020,2.739603
"DMA",2021,4.489518
"DMA",2022,23.004012
"DMA",2023,0.957551
"DMA",2024,8.697008
"DOM",2008,109.047239
"DOM",2009,3.478352
"DOM",2010,5.451505
"DOM",2011,29.886057
"DOM",2012,5.232334
"DOM",2013,0.538798
"DOM",2014,5.801894
"DOM",2015,5.560201
"DOM",2016,6.576507
"DOM",2017,164.21164
"DOM",2018,8.209147
"DOM",2019,3.756659
"DOM",2020,5.249987
"DOM",2021,14.570517
"DOM",2022,253.237539
"DOM",2023,8.649921
"DOM",2024,7.571699
"DZA",2008,24.755484
"DZA",2009,33.413205
"DZA",2010,32.221796
"DZA",2011,32.87017
"DZA",2012,29.308657
"DZA",2013,38.300875
"DZA",2014,27.728338
"DZA",2015,41.646741
"DZA",2016,31.28546
"DZA",2017,15.769412
"DZA",2018,21.667194
"DZA",2019,31.030492
"DZA",2020,23.068163
"DZA",2021,20.674899
"DZA",2022,25.313016
"DZA",2023,13.209064
"DZA",2024,18.747006
"ECU",2008,15.461734
"ECU",2009,19.175602
"ECU",2010,5.885211
"ECU",2011,11.454761
"ECU",2012,10.01743
"ECU",2013,20.435503
"ECU",2014,17.287241
"ECU",2015,28.902839
"ECU",2016,268.895846
"ECU",2017,125.670978
"ECU",2018,33.008718
"ECU",2019,82.468088
"ECU",2020,120.607558
"ECU",2021,77.022226
"ECU",2022,247.718538
"ECU",2023,188.70692
"ECU",2024,71.1081
"EGY",2008,15.689852
"EGY",2009,21.334436
"EGY",2010,4.177106
"EGY",2011,79.913894
"EGY",2012,8.171579
